OBJECTID,NAME,PMA,PARKSBND_AREA,SHAPE_Length,SHAPE_Area
29,BAR-S PLAYGROUND,3703,184597.559414,1800.11363686455,184596.821023394
30,BAYVIEW PLAYGROUND,303,201447.57257,1854.21213608461,201446.766780577
31,BEACON HILL PLAYGROUND,400,128761.041166,1504.75390840835,128760.526122545
32,BEACON PLACE,3119,10864.567495,473.845440290744,10864.5240370035
33,BEAVER POND NATURAL AREA ON THORNTON CREEK,4481,297351.183297,5949.25820232936,297349.993894541
34,BEER SHEVA PARK,440,254461.746065,2474.21607217385,254460.728217888
35,BELL STREET PARK BOULEVARD,4472,61371.938412,2388.87893869371,61371.6929246459
36,BELLEVUE PLACE,4022,54064.228816,1826.5115738209,54064.0125601586
37,BELLTOWN COMMUNITY CENTER,4485,6473.537402,335.882631308044,6473.51150793164
38,BELLTOWN COTTAGE PARK,4415,7215.513455,360.175245452069,7215.48459227754
39,BELLTOWN P-PATCH,3908,7213.721165,360.156125132875,7213.692309701
40,BELMONT PLACE,346,758.938731,136.683969739163,758.935694837715
41,BELVEDERE PARK,447,72781.940528,1543.1247483689,72781.6494008003
42,BELVOIR PLACE,475,17919.585238,764.85552120069,17919.5135600863
43,BENEFIT PLAYGROUND,436,103198.493651,1389.92748093701,103198.080857616
44,BENVENUTO VIEWPOINT,4245,72483.739678,3829.3704684431,72483.4497438827
45,BERGEN PLACE,253,6891.305541,366.017671790784,6891.27797626474
46,BHY KRACKE PARK,304,66733.001627,1149.27425190466,66732.7346964632
47,BITTER LAKE OPEN SPACE PARK,4450,125374.359188,3668.62759028325,125373.857691961
48,BITTER LAKE PLAYFIELD,288,326006.264822,2295.66636191157,326004.960797982
49,BLAINE PLACE,3907,1353.864884,192.877612833702,1353.85946853018
50,BLAKELEY CRESCENT PARK,4435,15409.743665,1066.56920660987,15409.6820264035
51,BLUE DOG POND,4418,98573.8484,1323.28096581416,98573.4541066933
52,BLUE RIDGE CIRCLE,238,4276.22778,234.89368226201,4276.21067514431
53,BLUE RIDGE PLACES,239,8637.190288,549.371639917241,8637.15573936035
54,BOREN PARK,362,315198.933134,2556.11629653298,315197.672337909
55,BOREN PLACE,3116,1158.578556,171.254550328958,1158.57392153203
56,BOYLSTON PLACE,349,199.708571,71.0695173486158,199.707771837249
57,BRADNER GARDENS PARK,401,68024.512713,1058.91800159044,68024.2406156725
58,BRIGHTON PLAYFIELD,402,535932.998808,3013.07564178062,535930.855079442
59,BROADWAY HILL PARK,4474,11955.956869,439.103397872124,11955.9090448841
60,BRYANT NEIGHBORHOOD PLAYGROUND,482,134787.016142,1634.25811376619,134786.476995501
61,BULLITT LIFE ESTATE,4609,69004.136503,1059.89899920301,69003.8604868768
62,BURKE-GILMAN PLAYGROUND PARK,496,310421.965152,4365.32531209709,310420.723465811
63,BURKE-GILMAN TRAIL,476,3389155.494945,91515.5807690347,3389141.93834537
64,CAL ANDERSON PARK,3102,480828.451237,3204.67808048419,480826.527923686
65,CALIFORNIA PLACE,448,10616.051034,498.963448433051,10616.0085691307
66,CAMP LONG,4154,2375764.710803,6953.79026830079,2375755.20775593
67,CARKEEK PARK,240,7763863.962375,35682.526976835,7763832.90694823
68,CARLETON CENTER,305,3813.374004,253.441711546856,3813.35875044032
69,CARLETON HIGHLANDS,4049,35357.441503,931.919350568842,35357.3000730908
70,CASCADE PLACE,3902,1205.851724,145.417392962324,1205.84690034649
71,CASCADE PLAYGROUND,350,88453.931836,1710.03500589204,88453.5780216345
72,CATHERINE BLAINE JR HS,0,216541.537823,2136.73836626783,216540.671657621
73,CAYTON CORNER PARK,4478,4560.188439,338.482742475602,4560.1701983102
74,CEDAR PARK,4167,92179.059922,1282.89982680274,92178.6912066243
75,CESAR CHAVEZ PARK,4448,7604.621622,392.080911234358,7604.59120342285
76,CHARLES RICHEY SR VIEWPOINT,80,485925.648996,7389.35139112342,485923.705293028
77,CHEASTY BOULEVARD,4214,842551.420862,13927.7195375751,842548.050659121
78,CHEASTY GREENSPACE,258,1743682.468023,20449.2281837163,1743675.49330629
79,CHEASTY GREENSPACE,489,271166.267174,6269.37107877494,271165.182507077
80,CHEASTY GREENSPACE: MT VIEW,269,368048.054828,4699.76646896364,368046.58263725
81,CHINATOWN/ID HUB URBAN VILLAGE,4489,11670.251827,566.822176131198,11670.2051463478
82,CHINOOK BEACH PARK,421,104326.73773,1821.66514740418,104326.320424008
83,CHINOOK PASSAGE NATURAL AREA ON THORNTON CREEK,4620,108667.925032,2708.95620323962,108667.490360839
