pmaid,name,feature_desc,hours,xpos,ypos,Location
455,Seacrest Park,Scuba Diving,4 a.m. - 11:30 p.m.,-122.381226,47.589941,"(47.589941, -122.381226)"
398,Warren G. Magnuson Park,Dog Off Leash Area,4 a.m. - 11:30 p.m.,-122.255084,47.680304,"(47.680304, -122.255084)"
763,Ward Springs Park,Paths,4 a.m. - 11:30 p.m.,-122.349245,47.627747,"(47.627747, -122.349245)"
3917,Don Armeni Park,Restrooms,4 a.m. - 11:30 p.m. except for vehicles with boats trailers and permits,-122.382295,47.59274,"(47.59274, -122.382295)"
398,Warren G. Magnuson Park,Tennis Court (Outdoor),4 a.m. - 11:30 p.m.,-122.255084,47.680304,"(47.680304, -122.255084)"
293,Gas Works Park,Paths (ADA Compliant),6 a.m. - 10 p.m.,-122.334906,47.645639,"(47.645639, -122.334906)"
411,Lakeridge Park,Play Area,4 a.m. - 11:30 p.m.,-122.247429,47.506033,"(47.506033, -122.247429)"
4443,Victory Creek Park,Play Area,4 a.m. - 11:30 p.m.,-122.315554,47.709155,"(47.709155, -122.315554)"
328,Queen Anne Boulevard,Historic Landmark,24 Hours,,,
243,Golden Gardens Park,Paths,4 a.m. - 11:30 p.m.,-122.403454,47.686852,"(47.686852, -122.403454)"
464,Roxhill Park,Picnic Sites,6 a.m. - 10 p.m.,-122.368881,47.519496,"(47.519496, -122.368881)"
342,Kerry Park,Basketball (Half),24 hours,-122.359874,47.629023,"(47.629023, -122.359874)"
399,Volunteer Park,Tennis Court (Outdoor),6 a.m. - 10 p.m.,-122.315568,47.630378,"(47.630378, -122.315568)"
440,Beer Sheva Park,Picnic Sites,4 a.m. - 11:30 p.m.,-122.263223,47.524191,"(47.524191, -122.263223)"
4412,Herring's House Park (T'ul'altx),Paths,4 a.m. - 11:30 p.m.,-122.349545,47.561514,"(47.561514, -122.349545)"
398,Warren G. Magnuson Park,View,4 a.m. - 11:30 p.m.,-122.255084,47.680304,"(47.680304, -122.255084)"
401,Bradner Gardens Park,Community Building,4 a.m. - 11:30 p.m.,-122.295426,47.587419,"(47.587419, -122.295426)"
425,Stan Sayres Memorial Park,Boat Launch (Hand Carry),"<p><strong>6:00 a.m. to 10:00 p.m. </strong><br>
  Gates locked between 10:00 p.m. and 6 a.m. <br>
  With overnight parking pass vehicles with boat trailers may  remain in the parking lot after closing with a four night maximum.</p>",-122.277162,47.571222,"(47.571222, -122.277162)"
369,Madison Park,View,4 a.m. - 11:30 p.m.,-122.276602,47.635779,"(47.635779, -122.276602)"
463,Riverview Playfield,Soccer,6 a.m. - 10 p.m.,-122.348688,47.54101,"(47.54101, -122.348688)"
483,Cowen Park,Rental Facility,4 a.m. - 11:30 p.m.,-122.313072,47.672596,"(47.672596, -122.313072)"
240,Carkeek Park,Environmental Learning Center,"<b>Park Hours:</b> 6 a.m.-10 p.m.<BR>
<b>Environmental Learning Center Hours:</b> Weekdays 10 a.m. - 4 p.m.",-122.379763,47.712194,"(47.712194, -122.379763)"
363,Flo Ware Park,Play Area (ADA Compliant),6 a.m. - 10 p.m.,-122.295868,47.599557,"(47.599557, -122.295868)"
469,West Seattle Golf Course,Weddings and Ceremonies,4 a.m. - 11:30 p.m.,-122.369657,47.55986,"(47.55986, -122.369657)"
413,Ferdinand Street Boat Ramp,Boat Launch (Hand Carry),24 hours,-122.264912,47.561358,"(47.561358, -122.264912)"
307,Green Lake Park,Play Area (ADA Compliant),24 Hours,-122.330394,47.678938,"(47.678938, -122.330394)"
444,View Ridge Playfield,Paths (ADA Compliant),4 a.m. - 11:30 p.m.,-122.279969,47.679747,"(47.679747, -122.279969)"
4029,Peace Park,View,4 a.m. - 11:30 p.m.,-122.323616,47.65543,"(47.65543, -122.323616)"
1000003,Eddie Vine Boat Ramp,Waterfront,24 Hours,-122.403454,47.686852,"(47.686852, -122.403454)"
375,West Montlake Park,View,4 a.m. - 11:30 p.m.,-122.30982,47.646219,"(47.646219, -122.30982)"
3023,Interlaken Park,Paths,4 a.m. - 11:30 p.m.,-122.308316,47.636257,"(47.636257, -122.308316)"
4158,Puget Boulevard Commons,Woods,4 a.m. - 11:30 p.m.,,,
4433,Smith Cove,Waterfront,4 a.m. - 11:30 p.m.,-122.387679,47.632602,"(47.632602, -122.387679)"
307,Green Lake Park,Boat Launch (Hand Carry),24 Hours,-122.330394,47.678938,"(47.678938, -122.330394)"
317,Magnolia Park,View,4 a.m. - 11:30 p.m.,-122.398993,47.632366,"(47.632366, -122.398993)"
297,Little Brook Park,Play Area (ADA Compliant),4 a.m. - 11:30 p.m.,-122.294567,47.731387,"(47.731387, -122.294567)"
390,Pratt Park,Restrooms,6 a.m. - 10 p.m.,-122.307257,47.601407,"(47.601407, -122.307257)"
476,Burke-Gilman Trail,View,4 a.m. - 11:30 p.m.,-122.284567,47.681597,"(47.681597, -122.284567)"
292,Woodland Park,Restrooms (ADA Compliant),4 a.m. - 11:30 p.m.,-122.344218,47.668906,"(47.668906, -122.344218)"
463,Riverview Playfield,Restrooms,6 a.m. - 10 p.m.,-122.348688,47.54101,"(47.54101, -122.348688)"
3889,Terry Pettus Park,Waterfront,4 a.m. - 11:30 p.m.,-122.329689,47.636742,"(47.636742, -122.329689)"
